cluster_id,description,name,level,parent_cluster_id,pct_total_occurrences
individual liberty,,individual liberty,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.001
informed autonomy,,informed autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.008
informed choice,,informed choice,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.076
initiative,,initiative,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.056
learner autonomy,,learner autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.009
learner empowerment,,learner empowerment,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002
local autonomy,,local autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002
medical autonomy,,medical autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002
moral autonomy,,moral autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.007
narrative autonomy,,narrative autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.003
parental autonomy,,parental autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.006
participant autonomy,,participant autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002
patient autonomy,,patient autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.059
personal agency,,personal agency,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.028
personal autonomy,,personal autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.171
personal freedom,,personal freedom,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002
personalized attention,,personalized attention,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.003
player agency,,player agency,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.006
player autonomy,,player autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.003
professional autonomy,,professional autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.006
reader autonomy,,reader autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002
rejection of constraints,,rejection of constraints,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002
respect for agency,,respect for agency,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.004
respect for autonomy,,respect for autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.074
respect for individuality,,respect for individuality,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.004
self-advocacy,,self-advocacy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.009
self-determination,,self-determination,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.017
self-reliance,,self-reliance,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.01
self-sufficiency,,self-sufficiency,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.004
student agency,,student agency,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.001
student autonomy,,student autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.014
team autonomy,,team autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002
user autonomy,,user autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.518
user choice,,user choice,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.003
user control,,user control,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002
user empowerment,,user empowerment,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.256
balanced analysis,,balanced analysis,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.096
balanced assessment,,balanced assessment,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.023
balanced consideration,,balanced consideration,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.004
balanced criticism,,balanced criticism,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.001
balanced critique,,balanced critique,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.003
balanced decision-making,,balanced decision-making,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.007
balanced discourse,,balanced discourse,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.01
balanced evaluation,,balanced evaluation,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.003
balanced information,,balanced information,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.002
balanced judgment,,balanced judgment,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.04
balanced perspective,,balanced perspective,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.259
balanced presentation,,balanced presentation,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.002
balanced reasoning,,balanced reasoning,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.009
balanced representation,,balanced representation,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.004
balanced thinking,,balanced thinking,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.003
balanced understanding,,balanced understanding,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.003
constructive reframing,,constructive reframing,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.016
intellectual balance,,intellectual balance,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.002
intellectual diversity,,intellectual diversity,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.002
intellectual fairness,,intellectual fairness,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.005
measured discourse,,measured discourse,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.003
measured response,,measured response,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.004
nuanced discourse,,nuanced discourse,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.001
nuanced thinking,,nuanced thinking,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.011
proportionality,,proportionality,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.004
representation,,representation,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.004
sensationalism,,sensationalism,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.002
thoughtful consideration,,thoughtful consideration,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.021
thoughtful discourse,,thoughtful discourse,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.002
clinical effectiveness,,clinical effectiveness,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.002
clinical excellence,,clinical excellence,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.003
clinical utility,,clinical utility,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.003
comprehensive assessment,,comprehensive assessment,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.002
educational assessment,,educational assessment,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.003
evidence-based care,,evidence-based care,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.004
evidence-based communication,,evidence-based communication,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.002
evidence-based governance,,evidence-based governance,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.002
evidence-based planning,,evidence-based planning,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.003
health promotion,,health promotion,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.024
merit-based evaluation,,merit-based evaluation,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.001
nutritional education,,nutritional education,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.002
practical learning,,practical learning,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.011
structured evaluation,,structured evaluation,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.001
structured pedagogy,,structured pedagogy,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.006
therapeutic effectiveness,,therapeutic effectiveness,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.003
careful reasoning,,careful reasoning,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.001
empirical reasoning,,empirical reasoning,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.002
evidence-based,,evidence-based,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.002
evidence-based analysis,,evidence-based analysis,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.009
evidence-based approach,,evidence-based approach,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.004
evidence-based assessment,,evidence-based assessment,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.003
evidence-based claims,,evidence-based claims,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.001
evidence-based decision making,,evidence-based decision making,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.005
evidence-based decisions,,evidence-based decisions,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.008
evidence-based knowledge,,evidence-based knowledge,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.002
evidence-based policy,,evidence-based policy,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.007
evidence-based practice,,evidence-based practice,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.148
evidence-based reasoning,,evidence-based reasoning,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.108
evidence-based rigor,,evidence-based rigor,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.001
evidence-based thinking,,evidence-based thinking,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.011
informed decision-making,,informed decision-making,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.159
rationality,,rationality,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.007
collaborative spirit,,collaborative spirit,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.094
collaborative teamwork,,collaborative teamwork,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.006
collective achievement,,collective achievement,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.004
supportive environment,,supportive environment,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.003
team cohesion,,team cohesion,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.008
team collaboration,,team collaboration,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.009
team harmony,,team harmony,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.004
team spirit,,team spirit,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.003
team unity,,team unity,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.002
teamwork,,teamwork,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.01
workplace harmony,,workplace harmony,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.015
academic expertise,,academic expertise,0,ai_values:l1:070203bd-f99f-40b8-846c-4958f08c88c6,0.002
clinical expertise,,clinical expertise,0,ai_values:l1:070203bd-f99f-40b8-846c-4958f08c88c6,0.003
educational expertise,,educational expertise,0,ai_values:l1:070203bd-f99f-40b8-846c-4958f08c88c6,0.001
expertise,,expertise,0,ai_values:l1:070203bd-f99f-40b8-846c-4958f08c88c6,0.18
expertise development,,expertise development,0,ai_values:l1:070203bd-f99f-40b8-846c-4958f08c88c6,0.002
human expertise,,human expertise,0,ai_values:l1:070203bd-f99f-40b8-846c-4958f08c88c6,0.003
medical expertise,,medical expertise,0,ai_values:l1:070203bd-f99f-40b8-846c-4958f08c88c6,0.067
religious scholarship,,religious scholarship,0,ai_values:l1:070203bd-f99f-40b8-846c-4958f08c88c6,0.002
respect for expertise,,respect for expertise,0,ai_values:l1:070203bd-f99f-40b8-846c-4958f08c88c6,0.049
scientific expertise,,scientific expertise,0,ai_values:l1:070203bd-f99f-40b8-846c-4958f08c88c6,0.001
theological precision,,theological precision,0,ai_values:l1:070203bd-f99f-40b8-846c-4958f08c88c6,0.002
business competence,,business competence,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.005
career stability,,career stability,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.001
clinical competence,,clinical competence,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.005
competence,,competence,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.145
digital literacy,,digital literacy,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.003
domain expertise,,domain expertise,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.006
expert guidance,,expert guidance,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.001
legal expertise,,legal expertise,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.004
medical competence,,medical competence,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.014
medical education,,medical education,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.001
pedagogical effectiveness,,pedagogical effectiveness,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.029
practical competence,,practical competence,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.019
practical experience,,practical experience,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.002
practical mastery,,practical mastery,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.005
professional authority,,professional authority,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.002
professional competence,,professional competence,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.366
professional diligence,,professional diligence,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.01
professional expertise,,professional expertise,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.178
professional focus,,professional focus,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.003
professional judgment,,professional judgment,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.009
professional precision,,professional precision,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.019
professional preparation,,professional preparation,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.002
teaching excellence,,teaching excellence,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.002
technical professionalism,,technical professionalism,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.011
thorough preparation,,thorough preparation,0,ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,0.003
amoral detachment,,amoral detachment,0,ai_values:l1:0828faf9-6239-41d1-bc15-396c3fe53e22,0.002
clinical detachment,,clinical detachment,0,ai_values:l1:0828faf9-6239-41d1-bc15-396c3fe53e22,0.003
professional detachment,,professional detachment,0,ai_values:l1:0828faf9-6239-41d1-bc15-396c3fe53e22,0.023
professional neutrality,,professional neutrality,0,ai_values:l1:0828faf9-6239-41d1-bc15-396c3fe53e22,0.027
professional objectivity,,professional objectivity,0,ai_values:l1:0828faf9-6239-41d1-bc15-396c3fe53e22,0.046
care,,care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.003
care coordination,,care coordination,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.001
caregiving,,caregiving,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.001
client care,,client care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.003
client wellbeing,,client wellbeing,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.014
compassionate care,,compassionate care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.02
comprehensive care,,comprehensive care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.018
comprehensive support,,comprehensive support,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.002
creative care,,creative care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.001
empathetic care,,empathetic care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.004
ethical care,,ethical care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.003
gentle care,,gentle care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.002
holistic care,,holistic care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.014
individualized care,,individualized care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.006
nurturing care,,nurturing care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.008
pastoral care,,pastoral care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.004
pedagogical care,,pedagogical care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.054
proactive care,,proactive care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.011
professional care,,professional care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.007
protective care,,protective care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.024
responsible care,,responsible care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.007
supportive care,,supportive care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.003
therapeutic care,,therapeutic care,0,ai_values:l1:0905730d-c8ee-427c-9b00-a35a143a9d20,0.003
emotional bonds,,emotional bonds,0,ai_values:l1:0b45b1ce-2c59-45f5-9f56-9323aae5c95e,0.001
relatability,,relatability,0,ai_values:l1:0b45b1ce-2c59-45f5-9f56-9323aae5c95e,0.004
wholesome romance,,wholesome romance,0,ai_values:l1:0b45b1ce-2c59-45f5-9f56-9323aae5c95e,0.002
backward compatibility,,backward compatibility,0,ai_values:l1:0c962ebd-5f81-4925-a44f-1ac05bb00d4e,0.001
operational continuity,,operational continuity,0,ai_values:l1:0c962ebd-5f81-4925-a44f-1ac05bb00d4e,0.001
operational reliability,,operational reliability,0,ai_values:l1:0c962ebd-5f81-4925-a44f-1ac05bb00d4e,0.006
operational stability,,operational stability,0,ai_values:l1:0c962ebd-5f81-4925-a44f-1ac05bb00d4e,0.002
preventive maintenance,,preventive maintenance,0,ai_values:l1:0c962ebd-5f81-4925-a44f-1ac05bb00d4e,0.001
reliability,,reliability,0,ai_values:l1:0c962ebd-5f81-4925-a44f-1ac05bb00d4e,0.455
robustness,,robustness,0,ai_values:l1:0c962ebd-5f81-4925-a44f-1ac05bb00d4e,0.027
scalability,,scalability,0,ai_values:l1:0c962ebd-5f81-4925-a44f-1ac05bb00d4e,0.011
system compatibility,,system compatibility,0,ai_values:l1:0c962ebd-5f81-4925-a44f-1ac05bb00d4e,0.001
system optimization,,system optimization,0,ai_values:l1:0c962ebd-5f81-4925-a44f-1ac05bb00d4e,0.003
system reliability,,system reliability,0,ai_values:l1:0c962ebd-5f81-4925-a44f-1ac05bb00d4e,0.033
system robustness,,system robustness,0,ai_values:l1:0c962ebd-5f81-4925-a44f-1ac05bb00d4e,0.002
systematic debugging,,systematic debugging,0,ai_values:l1:0c962ebd-5f81-4925-a44f-1ac05bb00d4e,0.001
collaborative guidance,,collaborative guidance,0,ai_values:l1:0d1f2d58-aa03-4f12-b0bf-57b3b9df315d,0.004
comprehensive guidance,,comprehensive guidance,0,ai_values:l1:0d1f2d58-aa03-4f12-b0bf-57b3b9df315d,0.002
confidence building,,confidence building,0,ai_values:l1:0d1f2d58-aa03-4f12-b0bf-57b3b9df315d,0.003
constructive guidance,,constructive guidance,0,ai_values:l1:0d1f2d58-aa03-4f12-b0bf-57b3b9df315d,0.059
constructive help,,constructive help,0,ai_values:l1:0d1f2d58-aa03-4f12-b0bf-57b3b9df315d,0.02
educational mentorship,,educational mentorship,0,ai_values:l1:0d1f2d58-aa03-4f12-b0bf-57b3b9df315d,0.001
encouragement,,encouragement,0,ai_values:l1:0d1f2d58-aa03-4f12-b0bf-57b3b9df315d,0.025
goal support,,goal support,0,ai_values:l1:0d1f2d58-aa03-4f12-b0bf-57b3b9df315d,0.001
helpful guidance,,helpful guidance,0,ai_values:l1:0d1f2d58-aa03-4f12-b0bf-57b3b9df315d,0.002
mentorship,,mentorship,0,ai_values:l1:0d1f2d58-aa03-4f12-b0bf-57b3b9df315d,0.058
positive influence,,positive influence,0,ai_values:l1:0d1f2d58-aa03-4f12-b0bf-57b3b9df315d,0.001
respect for experience,,respect for experience,0,ai_values:l1:0d1f2d58-aa03-4f12-b0bf-57b3b9df315d,0.005
respectful guidance,,respectful guidance,0,ai_values:l1:0d1f2d58-aa03-4f12-b0bf-57b3b9df315d,0.003
supportive mentorship,,supportive mentorship,0,ai_values:l1:0d1f2d58-aa03-4f12-b0bf-57b3b9df315d,0.003
supportive teaching,,supportive teaching,0,ai_values:l1:0d1f2d58-aa03-4f12-b0bf-57b3b9df315d,0.002
business ethics,,business ethics,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.05
business integrity,,business integrity,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.005
business legitimacy,,business legitimacy,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.001
commercial ethics,,commercial ethics,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.003
commercial integrity,,commercial integrity,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.002
content responsibility,,content responsibility,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.007
contractual integrity,,contractual integrity,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.002
ethical business,,ethical business,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.036
ethical business practices,,ethical business practices,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.016
ethical flexibility,,ethical flexibility,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.002
ethical sales,,ethical sales,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.002
ethical sales practices,,ethical sales practices,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.002
exploitation normalization,,exploitation normalization,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.001
fair compensation,,fair compensation,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.014
moral flexibility,,moral flexibility,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.005
organizational integrity,,organizational integrity,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.005
pragmatic honesty,,pragmatic honesty,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.002
responsible business,,responsible business,0,ai_values:l1:0ebcf52e-6577-40a3-80f8-8bacb98278c4,0.001
